seq,age
1,61
2,54
3,29
4,49
5,56
6,65
7,43
8,61
9,26
10,51
11,47
12,19
13,55
14,56
15,28
16,33
17,49
18,60
19,28
20,44
21,30
22,44
23,22
24,43
25,51
26,24
27,41
28,40
29,55
30,43
31,26
32,54
33,58
34,60
35,44
36,22
37,30
38,22
39,59
40,28
41,63
42,45
43,61
44,33
45,51
46,38
47,65
48,57
49,52
50,61
51,48
52,53
53,30
54,27
55,65
56,51
57,31
58,37
59,55
60,28
61,64
62,49
63,44
64,31
65,40
66,31
67,29
68,23
69,37
70,25
71,46
72,56
73,20
74,22
75,52
76,32
77,26
78,62
79,45
80,25
81,34
82,45
83,53
84,29
85,54
86,21
87,35
88,64
89,43
90,46
91,18
92,42
93,22
94,52
95,25
96,45
97,47
98,40
99,38
100,64

